Moldova 15.2
Lithuania 15.0
|Czech Republic| 14.4
Seychelles 13.8
Germany 13.4
Nigeria 13.4
Ireland 13.0
Luxembourg 13.0
Latvia 12.9
Bulgaria 12.7
France 12.6
Romania 12.6
Slovenia 12.6
Portugal 12.3
Belgium 12.1
Russia 11.7
Austria 11.6
Estonia[a] 11.6
Poland 11.6
Gabon 11.5
Slovakia 11.5
Switzerland 11.5
Hungary 11.4
|United Kingdom| 11.4
Andorra 11.3
|Equatorial Guinea| 11.3
Belarus 11.2
Serbia 11.1
Cyprus 10.8
Uruguay 10.8
Finland 10.7
|New Zealand| 10.7
Australia 10.6
|Cook Islands| 10.6
Denmark 10.4
Greece 10.4
Laos 10.4
|South Korea| 10.2
Spain 10.0
Eswatini[b] 9.9
|Saint Lucia| 9.9
Argentina 9.8
Georgia 9.8
Namibia 9.8
|United States| 9.8
Barbados 9.6
Uganda 9.5
|Saint Kitts and Nevis| 9.4
Tanzania 9.4
Chile 9.3
Grenada 9.3
|South Africa| 9.3
Sweden 9.2
Iceland 9.1
Rwanda 9.0
Cameroon 8.9
Canada 8.9
Croatia 8.9
Netherlands 8.7
Ukraine 8.6
Botswana 8.4
|Ivory Coast| 8.4
|Trinidad and Tobago| 8.4
Thailand 8.3
Vietnam 8.3
|Burkina Faso| 8.2
Dominica 8.2
|Saint Vincent and the Grenadines| 8.2
Macedonia 8.1
Malta 8.1
Japan 8.0
Montenegro 8.0
Panama 7.9
Brazil 7.8
Congo 7.8
Kazakhstan 7.7
Albania 7.5
Burundi 7.5
Italy 7.5
Norway 7.5
Mongolia 7.4
China 7.2
Paraguay 7.2
|Antigua and Barbuda| 7.0
Niue 7.0
|Dominican Republic| 6.9
|São Tomé and Príncipe| 6.8
Belize 6.7
Cambodia 6.7
Philippines 6.6
Mexico 6.5
Angola 6.4
|Bosnia and Herzegovina| 6.4
Guyana 6.3
Peru 6.3
Kyrgyzstan 6.2
Cuba 6.1
Nauru 6.0
Colombia 5.8
Haiti 5.8
Liberia 5.8
|Cape Verde| 5.7
India 5.7
|Sierra Leone| 5.7
Venezuela 5.6
Armenia 5.5
Turkmenistan 5.4
Nicaragua 5.2
Suriname 5.1
Lesotho 5.0
Bolivia 4.8
|Costa Rica| 4.8
Guinea-Bissau 4.8
Myanmar 4.8
Zambia 4.8
Zimbabwe 4.8
Bahamas 4.4
Ecuador 4.4
|Sri Lanka| 4.3
Jamaica 4.2
Honduras 4.0
|North Korea| 3.9
Gambia 3.8
Israel 3.8
|United Arab Emirates| 3.8
|El Salvador| 3.7
Malawi 3.7
Mauritius 3.6
Kenya 3.4
|Central African Republic| 3.3
Tajikistan 3.3
Togo 3.1
Benin 3.0
Fiji 3.0
Ethiopia 2.8
Ghana 2.7
Maldives 2.7
Uzbekistan 2.7
|DR Congo| 2.6
Micronesia 2.5
Samoa 2.5
Singapore 2.5
Guatemala 2.4
Mozambique 2.4
|East Timor| 2.1
Nepal 2.0
Qatar 2.0
Turkey 2.0
Bahrain 1.9
Madagascar 1.9
Tunisia 1.9
Tuvalu 1.7
Chad 1.5
Lebanon 1.5
Tonga 1.5
|Solomon Islands| 1.4
Eritrea 1.3
Guinea 1.3
Mali 1.3
|Papua New Guinea| 1.2
Iran 1.0
Vanuatu 1.0
Algeria 0.9
Comoros 0.9
Malaysia 0.9
Azerbaijan 0.8
Indonesia 0.8
Oman 0.8
Jordan 0.7
Senegal 0.7
Bhutan 0.6
Morocco 0.6
Djibouti 0.5
Niger 0.5
Sudan 0.5
Brunei 0.4
Egypt 0.4
Iraq 0.4
Kiribati 0.4
Pakistan 0.3
Syria 0.3
Afghanistan 0.2
|Saudi Arabia| 0.2
Yemen 0.1
Bangladesh 0.0
Kuwait 0.0
Libya 0.0
Mauritania 0.0
Somalia 0.0
|Netherlands Antilles| 0.0
|New Caledonia| 0.0
