country,index_cleanliness
Denmark,82.5
Luxembourg,82.3
Switzerland,81.5
United Kingdom of Great Britain and Northern Ireland,81.3
France,80.0
Austria,79.6
Finland,78.9
Sweden,78.7
Norway,77.7
Germany,77.2
Netherlands,75.3
Japan,75.1
Australia,74.9
Spain,74.3
Belgium,73.3
Ireland,72.8
Iceland,72.3
Slovenia,72.0
New Zealand,71.3
Czechia,71.0
Canada,71.0
Italy,71.0
Malta,70.7
United States of America,69.3
Greece,69.1
Slovakia,68.3
Portugal,67.0
"Korea, Republic of",66.5
Israel,65.8
Estonia,65.3
Cyprus,64.8
Romania,64.7
Hungary,63.7
Croatia,63.1
Lithuania,62.9
Latvia,61.6
Poland,60.9
Seychelles,58.2
Singapore,58.1
Taiwan,57.2
Bulgaria,57.0
United Arab Emirates,55.6
North Macedonia,55.4
Chile,55.3
Serbia,55.2
Brunei Darussalam,54.8
Kuwait,53.6
Jordan,53.4
Belarus,53.0
Colombia,52.9
Mexico,52.6
Costa Rica,52.5
Armenia,52.3
Argentina,52.2
Brazil,51.2
Bahrain,51.0
Ecuador,51.0
Russian Federation,50.5
Venezuela (Bolivarian Republic of),50.3
Ukraine,49.5
Uruguay,49.1
Albania,49.0
Antigua and Barbuda,48.5
Saint Vincent and the Grenadines,48.4
Cuba,48.4
Jamaica,48.2
Iran (Islamic Republic of),48.0
Malaysia,47.9
Trinidad and Tobago,47.5
Panama,47.3
Tunisia,46.7
Azerbaijan,46.5
Paraguay,46.4
Montenegro,46.3
Dominican Republic,46.3
Gabon,45.8
Barbados,45.6
Bosnia and Herzegovina,45.4
Lebanon,45.4
Thailand,45.4
Suriname,45.2
Tonga,45.1
Mauritius,45.1
Algeria,44.8
Kazakhstan,44.7
Dominica,44.6
"Moldova, Republic of",44.4
Bolivia (Plurinational State of),44.3
Uzbekistan,44.3
Peru,44.0
Saudi Arabia,44.0
Turkmenistan,43.9
Bahamas,43.5
Egypt,43.3
Grenada,43.1
Saint Lucia,43.1
El Salvador,43.1
South Africa,43.1
Turkey,42.6
Morocco,42.3
Belize,41.9
Georgia,41.3
Botswana,40.4
Namibia,40.2
Kyrgyzstan,39.8
Iraq,39.5
Bhutan,39.3
Nicaragua,39.2
Sri Lanka,39.0
Oman,38.5
Philippines,38.4
Malawi,38.3
Burkina Faso,38.3
Tajikistan,38.2
Equatorial Guinea,38.1
Honduras,37.8
Indonesia,37.8
Kiribati,37.7
Sao Tome and Principe,37.6
Samoa,37.3
China,37.3
Qatar,37.1
Zimbabwe,37.0
Central African Republic,36.9
"Congo, Democratic Republic of the",36.4
Guyana,35.9
Maldives,35.6
Uganda,35.6
Timor-Leste,35.3
Lao People's Democratic Republic,34.8
Sudan,34.8
Zambia,34.7
Kenya,34.7
Fiji,34.4
Ethiopia,34.4
Mozambique,33.9
Eswatini,33.8
Rwanda,33.8
Cambodia,33.6
Cameroon,33.6
Viet Nam,33.4
Pakistan,33.1
Micronesia (Federated States of),33.0
Nepal,32.7
Papua New Guinea,32.4
Mongolia,32.2
Comoros,32.1
Guatemala,31.8
"Tanzania, United Republic of",31.1
Nigeria,31.0
Marshall Islands,30.8
Congo,30.8
Niger,30.8
Senegal,30.7
Eritrea,30.4
Benin,30.0
Angola,29.7
Togo,29.5
Mali,29.4
Guinea-Bissau,29.1
Bangladesh,29.0
Vanuatu,28.9
Djibouti,28.1
Lesotho,28.0
Gambia,27.9
Mauritania,27.7
Ghana,27.6
India,27.6
Haiti,27.0
Burundi,27.0
Solomon Islands,26.7
Chad,26.7
Madagascar,26.5
Guinea,26.4
Côte d'Ivoire,25.8
Sierra Leone,25.7
Afghanistan,25.5
Myanmar,25.1
Liberia,22.6
