country,eng, top 5 distance,temp,precipitation,sunshine,windy days,index_alcohol,index_religion,index_prices,index_cleanliness,index_safety
Afghanistan,,,,,,,0.2,97%,,25.5,3.631
Albania,,,25.11666666666667,176.0,212.3333333333333,0.0,7.5,50%,50.2,49.0,1.824
Algeria,7,,28.935591603053417,999.9179932465026,311.338523644752,0.850613154960981,0.9,95%,31.1,44.8,2.31
American Samoa,80.1,,27.19148936170213,197.66,156.66666666666666,,,,,,
Andorra,22,,,,,,11.3,,,,
Angola,,,21.923529411764708,1.75,29.0,0.0588235294117647,6.4,88%,24.8,29.7,2.017
Anguilla,92.31,,,,,,,,,,
Antigua and Barbuda,80,,,,,,7.0,,,48.5,
Argentina,6.52,112.0,8.273331234256935,515.3398548437993,149.13288364249578,1.1090169992609018,9.8,65%,,52.2,1.945
Armenia,,,,,,,5.5,79%,34.1,52.3,2.075
Ascencion Island,,,25.4525,49.375,,0.0,,,,,
Australia,92.80,54.0,13.412742440041722,335.074668981984,191.04079782411603,1.0205223880597014,10.6,33%,108.1,74.9,1.47
Austria,73,140.0,19.88086419753086,129.15123456790124,252.0432098765432,0.0,11.6,17%,93.3,79.6,1.317
Azerbaijan,,,26.48333333333333,553.5298013245033,239.6546762589928,,0.8,36%,29.2,46.5,2.334
Bahamas,87.13,,28.985714285714288,186.2142857142857,261.57142857142856,0.04,4.4,,109.5,43.5,
Bahrain,,,35.33809523809524,0.0,341.1951219512195,1.0,1.9,94%,,51.0,2.121
Bangladesh,12,,28.837692307692297,498.4769230769231,124.31538461538462,,0.0,96%,38.8,29.0,2.068
Barbados,98.57,,27.829787234042563,634.5135135135135,237.2765957446809,,9.6,,121.6,45.6,
Belarus,,,19.31601423487544,77.67615658362989,284.33962264150944,0.1111111111111111,11.2,34%,,53.0,2.285
Belgium,60,126.0,18.055769230769226,78.25,200.55769230769232,0.3269230769230769,12.1,33%,94.8,73.3,1.496
Belize,81.65,,28.689795918367345,246.51020408163265,218.08695652173915,0.0,6.7,62%,,41.9,
Benin,,,26.051836734693893,188.60816326530613,154.75819672131146,0.136986301369863,3.0,93%,36.7,30.0,2.093
Bermuda,96.92,,26.53611111111111,126.47222222222224,269.6666666666667,,,,,,
Bhutan,,,,,,,0.6,,29.2,39.3,1.51
Bolivia,,,23.281001021450443,51.7801766437684,162.0,0.063913470993117,4.8,89%,37.7,44.3,2.14
Bosnia and Herzegovina,,,23.777777777777764,143.86928104575162,282.18954248366015,0.1578947368421052,6.4,75%,,45.4,1.97
Botswana,38.42,,,,,,8.4,77%,,40.4,1.753
Brazil,5,,24.431898646303384,308.66586682663467,219.3410883280757,,7.8,87%,47.4,51.2,2.43
Brunei,39.07,,27.89399999999999,243.8,221.0,0.0,0.4,,49.1,54.8,
Bulgaria,25,,22.80807453416149,220.7639751552795,309.0745341614907,,12.7,34%,45.7,57.0,1.577
Burkina Faso,,,27.68525641025641,185.42307692307693,216.02586206896552,1.3804347826086956,8.2,88%,,38.3,2.527
Burundi,,,,,,,7.5,88%,,27.0,2.434
Cambodia,22.2,,28.33333333333333,165.83333333333334,185.91666666666663,,6.7,96%,37.1,33.6,2.008
Cameroon,38,,25.97352941176471,476.7352941176471,90.24242424242424,0.2857142857142857,8.9,96%,41.4,33.6,2.7
Canada,83.06,84.0,13.134805890227604,72.33313397129187,223.2467532467533,0.0045454545454545,8.9,22%,98.7,71.0,1.33
Cape Verde,,,24.125,0.0,,0.0,,,,,
Caroline-Islands,,,27.90872483221475,356.37974683544303,,0.0,,,,,
Cayman Islands,76.6,,29.83636363636364,222.3636363636364,,,,,,,
Central African Republic,,,25.170370370370364,187.3571428571429,157.74193548387098,0.1818181818181818,3.3,94%,,36.9,3.131
Chad,,,27.301666666666662,182.96610169491527,216.63636363636363,0.0212765957446808,1.5,95%,,26.7,2.489
Chile,9.53,,7.497316219369905,511.2917103882476,106.96136363636364,0.7012448132780082,9.3,60%,59.3,55.3,1.831
China,0.9,132.0,25.075659978880697,256.5182992465016,192.1038961038961,0.3022452504317789,7.2,,61.3,37.3,2.114
Colombia,4.22,,27.83316770186336,232.6824408468244,177.20675675675676,,5.8,83%,41.4,52.9,2.694
Comoros,,,25.58,19.0,229.8,0.0,0.9,97%,,32.1,
Congo,,,24.87242424242425,1427.0754716981132,163.7163120567376,0.0,7.8,95%,,30.8,2.291
Cook Islands,19.8,,22.22,88.2,187.76470588235293,9.0,,,,,
Costa Rica,8.2,,26.457142857142856,375.89473684210526,144.08333333333334,,4.8,79%,61.2,52.5,1.735
Cote d'Ivoire,,,25.26028708133971,209.1442307692308,121.62048192771084,0.0,,,,,
Croatia,60.00,,,,,,8.9,70%,58.8,63.1,1.48
Croatia/Hrvatska,,,24.55428571428571,154.5142857142857,305.2857142857143,1.6862745098039216,,,,,
Cuba,,,27.90322580645162,143.82258064516128,239.3235294117647,,6.1,34%,,48.4,2.042
Curacao,,,28.66304347826087,243.7608695652174,288.2826086956522,,,,,,
Cyprus,73,,27.55094339622641,4337.88679245283,383.811320754717,0.0,10.8,25%,,64.8,1.912
Czech Republic,,,18.888148148148154,81.63703703703703,233.42592592592592,0.1504854368932038,,,,,
Czechia,27,82.0,,,,,14.4,21%,64.0,71.0,1.329
Côte d'Ivoire,,,,,,,8.4,88%,40.8,25.8,2.123
Dem. Republic of the Congo,,,24.215,466.54545454545456,175.0,0.0,,,,,
Denmark,86,74.0,17.05802469135802,67.64285714285714,,,10.4,19%,116.5,82.5,1.256
Dominican Republic,,,28.61558441558441,82.37662337662337,0.0,,6.9,87%,,46.3,2.024
Ecuador,,,24.25870967741935,154.4774193548387,109.56129032258065,0.217391304347826,4.4,82%,54.3,51.0,2.044
Egypt,35,,30.30271398747393,20.87891440501044,357.3908045977012,,0.4,97%,26.8,43.3,2.397
El Salvador,,,28.53684210526316,305.8421052631579,,,3.7,76%,49.2,43.1,2.184
Equatorial Guinea,,,25.592,216.0,69.4,0.0,11.3,,53.9,38.1,1.915
Eritrea,,,,,,,1.3,,,30.4,2.555
Estonia,50,46.0,,,,,11.6,16%,,65.3,1.612
Eswatini,48.2,,,,,,9.9,,38.3,33.8,1.955
Ethiopia,,,,,,,2.8,,,34.4,2.613
Faroe Islands,,,10.505555555555556,73.77777777777777,,,,,,,
Federated States of Micronesia,57.66,,,,,,,,,,
Fiji,20.62,,24.52105263157895,136.54794520547946,198.1808510638297,3.0,3.0,,44.4,34.4,
Finland,70,,14.041799544419122,65.87044534412955,237.29617834394904,0.0223325062034739,10.7,23%,105.5,78.9,1.402
France,39,66.0,18.96975476839236,209.90562248995985,237.7837563451777,2.079441117764471,12.6,30%,94.1,80.0,1.868
French Guiana,,,26.246568627450987,323.3819095477387,172.1010101010101,0.005813953488372,,,,,
French Polynesia,,,23.78518518518518,111.51758793969849,160.5032679738562,1.4351145038167938,,,,,
Gabon,,,24.776,1148.2666666666669,137.6590909090909,0.0,11.5,,,45.8,2.074
Gambia,2.34,,28.35,231.57142857142856,206.1428571428572,,3.8,,,27.9,1.853
Georgia,,,23.84712041884816,109.45989304812834,,,9.8,81%,31.8,41.3,2.054
Germany,56,40.0,17.705038818693897,72.57634937721052,223.3827655310621,0.0940807526460211,13.4,40%,88.9,77.2,1.48
Ghana,66.67,,25.59285714285713,129.53571428571428,137.80714285714285,,2.7,95%,29.0,27.6,1.715
Gibraltar,100,,23.746153846153845,770.5576923076923,330.9795918367347,0.0,,,,,
Greece,51,38.0,27.35275142314996,1132.796963946869,351.2582644628099,,10.4,71%,73.4,69.1,1.932
Greenland,,,5.387465940054499,47.30769230769231,,,,,,,
Grenada,90.91,,,,,,9.3,,,43.1,
Guadeloupe,,,27.77887323943663,125.28169014084509,200.2321428571429,0.6197183098591549,,,,,
Guam,91.09,,28.37073170731707,270.2142857142857,,0.1875,,,,,
Guatemala,,,,,,,2.4,88%,,31.8,2.195
Guinea,,,26.3,872.75,137.5,0.0,1.3,96%,,26.4,2.069
Guinea-Bissau,,,27.93,528.2631578947369,62.0,0.0,4.8,,,29.1,2.113
Guyana,90.55,,27.31204819277109,489.9761904761905,194.52564102564105,0.0333333333333333,6.3,,,35.9,2.114
Haiti,,,29.975,175.75,,,5.8,85%,,27.0,2.151
Honduras,,,27.88490566037736,132.30188679245282,219.82978723404256,0.0192307692307692,4.0,,,37.8,2.371
Hong Kong,46.07,,,,,,,,,,
Hungary,20,84.0,21.546666666666685,69.72137404580153,298.6318181818182,,11.4,39%,55.2,63.7,1.494
Iceland,,,10.692217898832684,57.47674418604651,174.35849056603774,,9.1,,119.1,72.3,1.1
India,14.18 (2012),,28.53507206588884,316.7382271468144,125.34654586636466,0.6794117647058824,5.7,90%,28.6,27.6,2.553
Indonesia,,,26.86026865671639,294.7551631248129,181.4610409608869,0.1107372285102477,0.8,97%,35.9,37.8,1.783
Iran,,,32.050000000000004,289.11304347826086,290.26984126984127,,1.0,77%,51.5,48.0,2.637
Iraq,35,,,,,,0.4,89%,44.3,39.5,3.257
Ireland,98.37,88.0,14.526624737945497,125.031512605042,156.5327868852459,0.0064516129032258,13.0,54%,116.4,72.8,1.326
Isle of Man,99.93,,,,,,,,,,
Israel,84.97,,29.031282051282048,307.75897435897434,338.3720930232558,,3.8,51%,124.6,65.8,2.633
Italy,34,10.0,22.965538735529805,2556.470327723649,289.4664351851852,0.5351681957186545,7.5,72%,84.3,71.0,1.652
Jamaica,97.64,,28.94,226.23809523809524,254.27884615384616,0.198019801980198,4.2,70%,,48.2,1.992
Japan,15,,23.323724668064347,198.50819088319088,172.1348707197764,0.2809699525566684,8.0,24%,106.7,75.1,1.373
Jordan,45,,34.267307692307696,0.0,343.90384615384613,0.0,0.7,96%,,53.4,1.916
Kazakhstan,15.4,,23.940950384346618,967.4814285714284,343.4343434343434,,7.7,53%,34.1,44.7,1.936
Kenya,18.83,,27.296551724137924,572.77,230.6071428571429,0.5280898876404494,3.4,94%,42.9,34.7,2.254
Kiribati,24.21,,28.975,292.5,277.0,,0.4,,,37.7,
Kuwait,,,38.865,0.5,309.7368421052632,0.0,0.0,91%,,53.6,1.688
Kyrgyzstan,,,,,,,6.2,72%,25.8,39.8,1.998
Lao People's Democratic Republic,,,,,,,10.4,96%,36.3,34.8,1.809
Latvia,46,30.0,,,,,12.9,29%,,61.6,1.686
Lebanon,40,,26.48333333333333,0.0,284.6666666666667,,1.5,87%,,45.4,2.797
Lesotho,27.86,,,,,,5.0,,,28.0,2.202
Liberia,82.67,,,,,,5.8,94%,,22.6,1.998
Libya,,,28.87736318407963,228.84263959390864,350.82471264367814,0.2885906040268456,0.0,,,,3.166
Liechtenstein,,,,,,,,,,,
Lithuania,38,,,,,,15.0,40%,,62.9,1.689
Luxembourg,56,,18.044444444444448,76.70370370370371,249.7962962962963,0.2040816326530612,13.0,39%,110.0,82.3,
Macedonia,,,24.16666666666667,27.53333333333333,319.26666666666665,1.4285714285714286,,,,,
Madagascar,18,,22.99090909090908,155.35858585858583,230.93269230769232,0.1666666666666666,1.9,93%,,26.5,1.963
Malawi,3.88,,,,,,3.7,97%,,38.3,1.909
Malaysia,62.57,,27.60917085427135,230.61180904522607,214.66666666666663,0.0118110236220472,0.9,96%,39.1,47.9,1.515
Maldives,,,28.83333333333333,195.92592592592592,215.5185185185185,,2.7,,,35.6,
Mali,,,28.9816143497758,220.0979498861048,219.0779569892473,0.5570776255707762,1.3,95%,,29.4,2.813
Malta,89,,26.147058823529424,3734.196078431373,348.19607843137254,0.0,8.1,86%,,70.7,
Marshall Islands,98.33,,28.35841584158417,255.1308411214953,,0.0,,,,30.8,
Martinique,,,27.89062500000001,367.1833333333333,204.07407407407408,0.3559322033898305,,,,,
