country index_prices
Bermuda 157.5
Switzerland 141.1
|Cayman Islands| 138.0
Israel 124.6
|Turks and Caicos Islands| 124.6
Barbados 121.6
|New Caledonia| 121.4
Iceland 119.1
Denmark 116.5
Ireland 116.4
Norway 113.2
Luxembourg 110.0
Bahamas 109.5
Australia 108.1
Japan 106.7
Finland 105.5
|New Zealand| 105.1
Sweden 102.5
|United Kingdom of Great Britain and Northern Ireland| 100.3
|United States of America| 100.0
Canada 98.7
Netherlands 96.3
Belgium 94.8
France 94.1
Austria 93.3
Germany 88.9
Italy 84.3
|Korea, Republic of| 82.2
Spain 81.1
|Hong Kong| 80.5
Macao 75.1
Singapore 74.8
Portugal 74.4
Greece 73.4
Qatar 73.0
|United Arab Emirates| 72.3
Czechia 64.0
China 61.3
|Costa Rica| 61.2
Chile 59.3
Croatia 58.8
Hungary 55.2
Ecuador 54.3
|Equatorial Guinea| 53.9
|Iran (Islamic Republic of)| 51.5
Albania 50.2
Mexico 50.0
Montenegro 49.8
Poland 49.7
|El Salvador| 49.2
|Brunei Darussalam| 49.1
Serbia 48.8
Brazil 47.4
Romania 46.1
Bulgaria 45.7
|Saudi Arabia| 45.1
Fiji 44.4
Iraq 44.3
Morocco 44.1
Namibia 43.8
Kenya 42.9
|North Macedonia| 42.4
|South Africa| 42.4
Timor-Leste 41.9
Colombia 41.4
Cameroon 41.4
Philippines 41.0
|Côte d'Ivoire| 40.8
Senegal 40.7
Thailand 40.6
Kosovo 40.1
|Moldova, Republic of| 39.2
Malaysia 39.1
Bangladesh 38.8
Paraguay 38.6
Eswatini 38.3
|Bolivia (Plurinational State of)| 37.7
Cambodia 37.1
Turkey 36.9
|Russian Federation| 36.8
Benin 36.7
Nicaragua 36.3
|Lao People's Democratic Republic| 36.3
Indonesia 35.9
Nigeria 35.4
|Viet Nam| 35.0
Mongolia 34.9
Armenia 34.1
Kazakhstan 34.1
|Sri Lanka| 31.8
Georgia 31.8
Myanmar 31.6
Algeria 31.1
Ukraine 30.2
Zambia 29.6
Tunisia 29.3
Azerbaijan 29.2
Bhutan 29.2
Ghana 29.0
India 28.6
Nepal 28.1
Egypt 26.8
Kyrgyzstan 25.8
Tajikistan 25.1
Pakistan 24.8
Angola 24.8
