country index_religion
Niger 100%
Somalia 98%
Yemen 98%
Thailand 98%
Egypt 97%
Comoros 97%
Indonesia 97%
Afghanistan 97%
Malawi 97%
Mauritania 97%
|Sri Lanka| 97%
Cameroon 96%
Malaysia 96%
Cambodia 96%
Bangladesh 96%
Senegal 96%
Jordan 96%
|Saudi Arabia| 96%
Myanmar 96%
|Lao People's Democratic Republic| 96%
Guinea 96%
Morocco 96%
Ghana 95%
Zambia 95%
Algeria 95%
Chad 95%
Rwanda 95%
Congo 95%
Mali 95%
|Central African Republic| 94%
Kenya 94%
Liberia 94%
|Congo, Democratic Republic of the| 94%
Bahrain 94%
|State of Palestine| 93%
Sudan 93%
Uganda 93%
Madagascar 93%
Benin 93%
Nepal 93%
Tunisia 93%
Namibia 92%
|Trinidad and Tobago| 92%
Paraguay 92%
Pakistan 92%
Kuwait 91%
India 90%
Oman 90%
|Tanzania, United Republic of| 89%
|Bolivia (Plurinational State of)| 89%
|Syrian Arab Republic| 89%
Iraq 89%
Zimbabwe 88%
|Côte d'Ivoire| 88%
|Burkina Faso| 88%
Panama 88%
Angola 88%
Guatemala 88%
Burundi 88%
Brazil 87%
|Dominican Republic| 87%
Lebanon 87%
Mozambique 86%
Malta 86%
Qatar 86%
|South Africa| 85%
Tajikistan 85%
Haiti 85%
Peru 84%
Romania 84%
Colombia 83%
Ecuador 82%
Georgia 81%
Turkmenistan 80%
Togo 80%
|Venezuela (Bolivarian Republic of)| 79%
|Costa Rica| 79%
Armenia 79%
Botswana 77%
|Iran (Islamic Republic of)| 77%
|United Arab Emirates| 76%
|North Macedonia| 76%
|El Salvador| 76%
|Bosnia and Herzegovina| 75%
Mexico 73%
Portugal 72%
Italy 72%
Kyrgyzstan 72%
Montenegro 71%
Greece 71%
Nicaragua 70%
Croatia 70%
Singapore 70%
Jamaica 70%
Nigeria 69%
Djibouti 68%
|United States of America| 67%
Argentina 65%
Turkey 64%
Belize 62%
Chile 60%
Uzbekistan 55%
Serbia 54%
Ireland 54%
Kazakhstan 53%
Israel 51%
Albania 50%
Poland 50%
Spain 49%
Slovenia 47%
Slovakia 47%
Ukraine 46%
Taiwan 40%
Germany 40%
Uruguay 40%
Lithuania 40%
Luxembourg 39%
Hungary 39%
Azerbaijan 36%
Cuba 34%
Bulgaria 34%
|Russian Federation| 34%
Belarus 34%
Australia 33%
Netherlands 33%
Belgium 33%
|Korea, Republic of| 33%
Philippines 32%
France 30%
Latvia 29%
Cyprus 25%
|United Kingdom of Great Britain and Northern Ireland| 25%
Japan 24%
|Hong Kong| 24%
Finland 23%
Switzerland 23%
Norway 22%
Canada 22%
Czechia 21%
|Moldova, Republic of| 21%
Denmark 19%
|New Zealand| 18%
Austria 17%
Sweden 17%
Estonia 16%
|Viet Nam| 15%
